項目,入力欄,備考
--- 出展社情報 ---,,
出展社名（ブース登録名）,,正式登録名
電話番号,,
メールアドレス,,
ゾーン名,,例：プラチナホール
館・ブース番号,,例：W2-A001
出展歴,,あり / 初出展 / なし（削除して選択）
--- メイン製品 ---,,
掲載製品名（正式名称）,,
製品カテゴリ,,例：スキンケア・機器・サプリメント
製品概要,,80文字以内
スペック（内容量またはサイズ・重量）,,例：150g
サロン価格（税込）,,
--- 製品ポイント ---,,
【ポイント①】見出しキーワード,,20文字以内
【ポイント①】詳細,,80文字以内
【ポイント②】見出しキーワード,,20文字以内
【ポイント②】詳細,,80文字以内
--- ブース注目情報 ---,,
【注目ポイント①】見出しキーワード,,例：体験施術・限定プレゼントなど
【注目ポイント①】詳細,,80文字以内（来場を促す内容）
【注目ポイント②】見出しキーワード,,
【注目ポイント②】詳細,,80文字以内
--- VOICE ---,,
STAFF / SALON VOICE 区分,,STAFF または SALON（削除して選択）
コメント本文,,80文字以内
--- 薬機法確認 ---,,
効能効果の表現チェック済み,,済 / 未（削除して選択）
景表法の優良誤認表現チェック済み,,済 / 未（削除して選択）
