項目,入力欄,備考
--- サロン基本情報 ---,,
サロン名,,正式名称
所在地,,都道府県から記載
サロンコンセプト,,60文字以内
URL,,
電話番号,,
--- オーナー情報 ---,,
オーナー氏名,,フルネーム
取材日,,YYYY-MM-DD
--- お悩み（導入前）---,,
お悩み①,,32文字以内
お悩み②,,32文字以内
お悩み③,,32文字以内
--- Before（課題確認）---,,
導入前の状況,,具体的に
当時のオーナーの気持ち,,25文字以内
--- Process（対策検討）---,,
製品を知ったきっかけ,,
検討過程,,
当時のオーナーの気持ち,,25文字以内
--- Decision（導入の決め手）---,,
導入を決めた理由,,
自身で試した体験談,,
ブランド・コンセプトとの共鳴,,
--- After（導入後の成果）---,,
物販売上（導入前）,,例：月25万円
物販売上（導入後）,,例：月100万円
導入期間,,例：9カ月後
顧客の反応,,
リピート率の変化,,
その他の成果,,
--- 製品情報 ---,,
製品名（正式名称）,,
製品カテゴリ,,例：総合エイジングケア化粧品
主な配合成分,,
サロン価格（税込）,,
メーカー名,,
メーカー電話番号 / URL,,
--- コメント ---,,
オーナーコメント（メーカーへの声）,,80文字以内
メーカーコメント（サロンへの声）,,80文字以内
